Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
80,2021,2022-01-02,16,17,26.242,GNB,,MIN,W 37-10,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,20%,8,30%,
81,2021,2022-01-09,17,18,26.249,GNB,@,DET,L 30-37,,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,19%,6,21%,
82,2024,2024-09-08,1,1,29.126,ATL,,PIT,L 10-18,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,7,28%,
83,2024,2024-09-16,2,2,29.134,ATL,@,PHI,W 22-21,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,8,36%,
84,2024,2024-09-22,3,3,29.140,ATL,,KAN,L 17-22,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,7,29%,
85,2024,2024-09-29,4,4,29.147,ATL,,NOR,W 26-24,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,10,36%,
86,2024,2024-10-03,5,5,29.151,ATL,,TAM,W 36-30,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,9,28%,
87,2024,2024-10-13,6,6,29.161,ATL,@,CAR,W 38-20,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,12%,20,74%,
88,2024,2024-10-20,7,7,29.168,ATL,,SEA,L 14-34,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,13,50%,
89,2024,2024-10-27,8,8,29.175,ATL,@,TAM,W 31-26,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,13,48%,
90,2024,2024-11-03,9,9,29.182,ATL,,DAL,W 27-21,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,9%,12,46%,
91,2024,2024-11-10,10,10,29.189,ATL,@,NOR,L 17-20,,,,,,,,,,,,,,,,,,,,,,0,0%,1,2%,13,48%,
92,2024,2024-11-17,11,11,29.196,ATL,@,DEN,L 6-38,*,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,10%,1,4%,
